Date,Open,High,Low,Close,Coin
2023-05-21,27118.423228280295,27265.917991795977,26706.921353513324,26753.82563905467,btc
2023-05-20,26888.84139105379,27155.159026372767,26843.277380862277,27129.586255031238,btc
2023-05-19,26826.754786389298,27128.618843259585,26700.21014229994,26890.12824240825,btc
2023-05-18,27401.650207988976,27466.527590184734,26415.10148304567,26832.20930048602,btc
2023-05-17,27035.470129713845,27465.927904294607,26600.14484430804,27398.802027965245,btc
2023-05-16,27171.514579396786,27299.30481164118,26878.947971817197,27036.65070994403,btc
2023-05-15,26931.384631905392,27646.34811866989,26766.09691604433,27192.693221164922,btc
2023-05-14,26788.974291770766,27150.976791699217,26661.3549036476,26930.63784556426,btc
2023-05-13,26807.769044398643,27030.482960302434,26710.873803047674,26784.078560882408,btc
2023-05-12,26987.662513638646,27055.647228128175,25878.428829536035,26804.99067068782,btc
2023-05-11,27621.08687181673,27621.941986176353,26781.82700214609,27000.788270733763,btc
2023-05-10,27654.63677657879,28322.688327886328,26883.669882565664,27621.756227331287,btc
2023-05-09,27695.068069254914,27821.400606356445,27375.600690258794,27658.77467251895,btc
2023-05-08,28450.457477963737,28663.272331845226,27310.135612373655,27694.272896273116,btc
2023-05-07,28901.62282413254,29157.51818533471,28441.368038323788,28454.978285513487,btc
2023-05-06,29538.85900462101,29820.12662207653,28468.967409856246,28904.623949070778,btc
2023-05-05,28851.479661785383,29668.90767712088,28845.51053371511,29534.384019704954,btc
2023-05-04,29031.304447754515,29353.18465956154,28694.039024689486,28847.711590655163,btc
2023-05-03,28680.494409624953,29259.533287999457,28178.3892452007,29006.30767090857,btc
2023-05-02,28087.17496979201,28881.298380463573,27924.12367498072,28680.53696791293,btc
2023-05-01,29227.10398190992,29329.93622110556,27680.792639691088,28091.56880389237,btc
2023-04-30,29245.515512462294,29952.02855265972,29114.021236277837,29268.807043162557,btc
2023-04-29,29336.567035251155,29452.455244901885,29088.042336489525,29248.488372917574,btc
2023-04-28,29481.013535027447,29572.791692792915,28929.60854188226,29340.262498158005,btc
2023-04-27,28428.464278678897,29871.54635164288,28402.88738665169,29473.786183672837,btc
2023-04-26,28300.05927438531,29995.83849111743,27324.549006523932,28422.70087849232,btc
2023-04-25,27514.87239121884,28371.077696197786,27207.932556740943,28307.59809066535,btc
2023-04-24,27591.729521890473,27979.98190066292,27070.849499552543,27525.33949959111,btc
2023-04-23,27816.144792576142,27820.24449092755,27400.313735867676,27591.38463190681,btc
2023-04-22,27265.89501625829,27872.143167903887,27169.57112040993,27817.500917437257,btc
2023-04-21,28249.231270723743,28349.967857708452,27177.365299574205,27276.909687575568,btc
2023-04-20,28823.682862437203,29076.401048519936,28037.25725722351,28245.98731049337,btc
2023-04-19,30394.187904359267,30411.053790876467,28669.898268151563,28822.680472900887,btc
2023-04-18,29449.0917046267,30470.302014738132,29154.84937086217,30397.55273552258,btc
2023-04-17,30317.145697415202,30319.196576603867,29275.371057633616,29445.044904962764,btc
2023-04-16,30315.976416622234,30555.53763344086,30157.832325260348,30315.35545612029,btc
2023-04-15,30490.74927242369,30601.740164292667,30245.881938715993,30318.496953064554,btc
2023-04-14,30409.5616914944,31005.608044472887,30044.497509619017,30485.700029255324,btc
2023-04-13,29892.73945987711,30539.846481282515,29878.622163408105,30399.066385491835,btc
2023-04-12,30231.581623239563,30462.480941487043,29725.573350158436,30139.052871052005,btc
2023-04-11,29653.679647445995,30509.083666456423,29609.301368034943,30235.058938955266,btc
2023-04-10,28336.028237401144,29771.463928909954,28189.270771369433,29652.98009708406,btc
2023-04-09,27952.367615612475,28532.829969278082,27828.481410543493,28333.050047624925,btc
2023-04-08,27920.512778528697,28159.862779875504,27883.386552621025,27947.79454969423,btc
2023-04-07,28038.9669696205,28111.59328412164,27794.03182581009,27925.859408412933,btc
2023-04-06,28175.22707737488,28178.384312375736,27738.759361405984,28044.139754944128,btc
2023-04-05,28169.726952853987,28739.238110653572,27843.76449542776,28177.9835569508,btc
2023-04-04,27795.274323998936,28433.742975997215,27681.305056614092,28168.0898164027,btc
2023-04-03,28183.0803582438,28475.622507498865,27276.719948809692,27790.220854773645,btc
2023-04-02,28462.844801116054,28518.958407845254,27884.087091328583,28199.308383774474,btc
2023-04-01,28473.331801197142,28802.45747844686,28297.172497645388,28411.03424309244,btc
2023-03-31,28032.2622677886,28639.896083757507,27583.715260068304,28478.484605680438,btc
2023-03-30,28350.141491187987,29159.90261786623,27720.15933761617,28033.563150395665,btc
2023-03-29,27267.03217460021,28619.543388800823,27259.66118041008,28348.442342812003,btc
2023-03-28,27132.888921445134,27460.7194594252,26677.81872811284,27268.131482914527,btc
2023-03-27,27994.067923252504,28037.925860641368,26606.689001139537,27139.88853052214,btc
2023-03-26,27495.52395825096,28178.144437213232,27445.046354925245,27994.32951422271,btc
2023-03-25,27487.337738386257,27791.825602760004,27196.233829504792,27494.706878377543,btc
2023-03-24,28324.11169520493,28388.437745563944,27039.265431502597,27493.285143623496,btc
2023-03-23,27301.957494354938,28729.843469678315,27183.363740707282,28333.972711378767,btc
2023-03-22,28158.719991806116,28803.33592066941,26759.99623312224,27307.436768413274,btc
2023-03-21,27768.39203181537,28439.561588710232,27439.647094150285,28175.816835424946,btc
2023-03-20,28041.601917494194,28527.72422274135,27242.880702919123,27767.236331826196,btc
2023-03-19,26969.503787812773,28440.561217258273,26907.71627371266,28038.674946765103,btc
2023-03-18,27448.117269610462,27725.953416209864,26636.260945975282,26965.879757026636,btc
2023-03-17,25055.123219270015,27787.812225225498,24955.169055285627,27423.930634049197,btc
2023-03-16,24373.456617017335,25190.32698449262,24225.110958628262,25052.78972174803,btc
2023-03-15,24770.925668702967,25240.615818348535,23964.909846876988,24375.961357831246,btc
2023-03-14,24201.76600614591,26514.717165528455,24081.18265166227,24746.074658847734,btc
2023-03-13,22156.406675322058,24550.837485761334,21918.199930890016,24197.5329977753,btc
2023-03-12,20628.029034458348,22185.03111087706,20448.80626107676,22163.94995191503,btc
2023-03-11,20187.877074733235,20792.525692444524,20068.66031241524,20632.409629392565,btc
2023-03-10,20367.00177713576,20370.595398116,19628.254309420507,20187.243647616287,btc
2023-03-09,21720.07931756107,21802.71668117176,20210.3067467507,20363.021111725368,btc
2023-03-08,22216.442321102208,22268.896252187904,21708.050506040505,21718.079830432067,btc
2023-03-07,22428.32238968881,22527.41864168071,22011.262496656873,22219.76907094175,btc
2023-03-06,22436.81677589737,22584.293808702274,22331.314828369683,22429.75753334634,btc
2023-03-05,22354.14359815582,22613.685230682047,22307.143313422126,22435.514196973487,btc
2023-03-04,22362.92302679091,22405.1769535758,22198.981009392606,22353.350073930676,btc
2023-03-03,23476.633731258356,23479.34809376563,22213.23759376628,22362.6793319333,btc
2023-03-02,23647.019473129796,23739.138076779185,23245.021433240236,23475.466737662264,btc
2023-03-01,23150.92995817847,23880.63246286755,23088.626699901255,23646.549899144964,btc
2023-02-28,23521.838822394886,23585.38406953924,23077.6503704068,23147.35338990846,btc
2023-02-27,23561.450681524497,23857.891125262795,23205.879245350094,23522.871914506002,btc
2023-02-26,23174.15076871508,23654.367374645797,23084.221639724135,23561.212910916336,btc
2023-02-25,23200.125853429145,23210.211072334423,22861.558664814136,23175.375635842458,btc
2023-02-24,23946.007863671563,24103.704483456677,23007.07132664495,23198.12748788315,btc
2023-02-23,24190.71898354621,24572.089421454446,23693.919485258688,23947.49252317601,btc
2023-02-22,24437.418479922784,24472.33975721861,23644.317715789413,24188.842976694308,btc
2023-02-21,24833.048914297397,25126.851685722035,24200.364116338482,24436.354484576015,btc
2023-02-20,24336.623340482118,25020.45951252541,23927.909253473492,24829.14756994915,btc
2023-02-19,24640.02722142087,25093.05514954421,24327.641672282658,24327.641672282658,btc
2023-02-18,24565.295999850914,24798.835570650936,24468.373630858852,24641.276948425817,btc
2023-02-17,23621.282494263785,24924.04006030843,23460.756026631254,24565.601988946673,btc
2023-02-16,24307.350197799304,25134.11735019613,23602.522501390988,23623.474480806268,btc
2023-02-15,22220.585338474528,24307.841328484352,22082.76908076793,24307.841328484352,btc
2023-02-14,21801.823146444163,22293.140093450103,21632.393983859154,22220.80414369751,btc
2023-02-13,21786.9992632743,21898.413839675686,21460.088503864434,21808.10177360093,btc
